,created_at,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10.0_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_CF1_ug/m3,>=0.3um/dl,>=0.5um/dl,>=1.0um/dl,>=2.5um/dl,>=5.0um/dl,>=10.0um/dl,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3,PM1.0_ATM_B_ug/m3,PM2.5_ATM_B_ug/m3,PM10.0_ATM_B_ug/m3,UptimeMinutes_B,ADC,Pressure_hpa,PM2.5_CF1_B_ug/m3,>=0.3_B_um/dl,>=0.5_B_um/dl,>=1.0_B_um/dl,>=2.5_B_um/dl,>=5.0_B_um/dl,>=10.0_B_um/dl,PM1.0_CF1_B_ug/m3,PM10.0_CF1_B_ug/m3
0,2022-04-07 12:01:12+00:00,2.22,3.49,3.56,1126,-75,69,27,3.49,602.75,145.10,21.14,1.46,0.17,0.17,2.22,3.56,2.13,4.15,5.48,18512,0.05,959.57,4.15,586.67,159.69,31.96,5.44,1.70,1.70,2.13,5.48
1,2022-04-07 12:03:12+00:00,1.73,2.86,3.34,1128,-73,68,27,2.86,509.30,129.46,18.77,1.93,0.61,0.43,1.73,3.34,1.93,3.88,3.98,18512,0.05,959.68,3.88,574.79,147.46,27.18,5.96,0.00,0.00,1.93,3.98
2,2022-04-07 12:05:12+00:00,4.07,5.56,6.30,1130,-72,68,27,5.56,986.33,242.37,30.46,3.04,0.91,0.91,4.07,6.30,3.53,4.84,6.34,18512,0.05,959.57,4.84,854.79,223.59,29.86,4.52,2.14,1.69,3.53,6.34
3,2022-04-07 12:07:13+00:00,2.98,4.04,4.46,1132,-71,68,27,4.04,653.95,174.33,27.86,1.60,0.56,0.56,2.98,4.46,2.30,3.73,5.61,18512,0.05,959.68,3.73,636.16,169.27,29.84,4.14,2.43,2.43,2.30,5.61
4,2022-04-07 12:09:13+00:00,1.56,2.53,2.53,1134,-73,66,27,2.53,478.32,119.25,15.42,1.02,0.00,0.00,1.56,2.53,1.68,3.18,4.21,18512,0.05,959.88,3.18,474.21,127.09,22.62,5.00,1.21,1.21,1.68,4.21
5,2022-04-07 12:11:13+00:00,1.66,2.70,3.45,1136,-75,68,27,2.70,463.66,124.71,23.25,2.12,0.88,0.88,1.66,3.45,1.58,2.42,4.28,18512,0.05,959.82,2.42,466.26,128.07,24.18,2.95,2.04,2.04,1.58,4.28
6,2022-04-07 12:13:12+00:00,2.27,3.54,3.91,1138,-72,66,27,3.54,671.36,162.82,21.39,2.25,0.55,0.43,2.27,3.91,1.61,2.90,4.69,18512,0.05,959.73,2.90,470.90,129.92,28.07,4.10,2.51,1.63,1.61,4.69
7,2022-04-07 12:15:12+00:00,1.67,2.28,2.91,1140,-72,68,27,2.28,508.26,128.00,15.65,1.79,0.53,0.46,1.67,2.91,1.24,2.42,3.05,18512,0.05,959.87,2.42,428.40,117.56,21.91,3.02,0.87,0.40,1.24,3.05
8,2022-04-07 12:17:13+00:00,1.26,2.26,2.55,1142,-74,68,27,2.26,480.05,108.67,16.60,2.02,0.26,0.26,1.26,2.55,1.23,3.00,3.66,18680,0.05,959.85,3.00,445.61,116.27,27.07,3.71,0.82,0.82,1.23,3.66
9,2022-04-07 12:19:13+00:00,2.86,3.59,3.84,1144,-75,65,27,3.59,764.64,170.98,16.79,1.88,0.24,0.00,2.86,3.84,2.07,3.71,5.16,18512,0.05,959.92,3.71,610.29,155.84,28.77,4.71,2.11,1.71,2.07,5.16
10,2022-04-07 12:21:13+00:00,1.30,2.50,2.57,1146,-76,67,27,2.50,446.44,110.65,20.59,2.15,0.20,0.00,1.30,2.57,1.55,2.26,3.78,18344,0.05,960.13,2.26,475.60,125.29,19.66,3.69,1.72,1.72,1.55,3.78
11,2022-04-07 12:23:13+00:00,0.83,1.84,2.19,1148,-73,68,27,1.84,390.67,95.12,13.86,2.22,0.22,0.22,0.83,2.19,1.31,2.04,3.09,18512,0.05,960.05,2.04,414.38,113.00,20.29,1.89,1.35,0.91,1.31,3.09
12,2022-04-07 12:25:13+00:00,1.66,3.25,3.93,1150,-74,68,27,3.25,513.05,128.50,24.04,4.02,0.62,0.62,1.66,3.93,1.75,2.83,4.81,18512,0.05,960.15,2.83,469.07,128.53,25.22,4.14,2.41,2.41,1.75,4.81
13,2022-04-07 12:27:13+00:00,1.89,2.87,3.09,1152,-75,68,27,2.87,476.78,128.75,20.58,1.29,0.22,0.22,1.89,3.09,1.36,2.31,4.53,18512,0.05,960.15,2.31,488.84,121.95,24.22,3.83,2.86,2.86,1.36,4.53
14,2022-04-07 12:29:13+00:00,1.67,2.79,3.16,1154,-74,68,27,2.79,480.47,122.26,19.59,2.03,0.53,0.36,1.67,3.16,1.54,2.68,2.77,18512,0.05,960.22,2.68,468.54,126.71,19.93,1.75,0.18,0.18,1.54,2.77
15,2022-04-07 12:31:13+00:00,1.45,2.11,2.49,1156,-72,68,27,2.11,415.69,107.29,14.55,1.44,0.33,0.16,1.45,2.49,1.52,2.61,4.24,18512,0.05,960.29,2.61,427.61,116.98,24.98,5.22,2.22,1.37,1.52,4.24
16,2022-04-07 12:33:13+00:00,1.62,2.91,3.30,1158,-75,68,27,2.91,473.95,127.89,19.71,2.25,0.50,0.50,1.62,3.30,1.71,2.76,3.85,18512,0.05,960.40,2.76,532.32,144.97,22.47,2.92,1.25,1.25,1.71,3.85
17,2022-04-07 12:35:13+00:00,2.09,3.02,3.46,1160,-75,68,28,3.02,576.16,146.72,19.61,1.42,0.53,0.35,2.09,3.46,1.84,3.67,4.46,18680,0.05,960.37,3.67,572.79,154.37,27.81,2.95,1.12,0.95,1.84,4.46
18,2022-04-07 12:37:13+00:00,1.90,3.21,3.40,1162,-71,68,28,3.21,522.57,140.09,22.21,2.88,0.00,0.00,1.90,3.40,2.27,4.07,4.41,18512,0.05,960.45,4.07,599.14,163.00,29.88,3.79,0.68,0.11,2.27,4.41
19,2022-04-07 12:39:13+00:00,1.88,2.82,3.49,1164,-75,67,28,2.82,559.37,134.77,16.96,2.47,0.89,0.40,1.88,3.49,2.61,4.64,5.46,18512,0.05,960.50,4.64,614.95,163.54,28.27,6.04,1.11,1.11,2.61,5.46
20,2022-04-07 12:41:13+00:00,2.37,4.07,4.32,1166,-75,67,28,4.07,634.95,160.40,26.68,2.42,0.19,0.19,2.37,4.32,2.45,5.43,6.62,18680,0.05,960.69,5.43,711.27,181.14,36.82,8.54,1.43,1.43,2.45,6.62
21,2022-04-07 12:43:13+00:00,2.46,3.56,3.75,1168,-74,68,28,3.56,640.53,163.42,21.95,1.98,0.26,0.02,2.46,3.75,2.15,4.34,5.56,18512,0.05,960.59,4.34,638.85,164.76,31.25,5.66,1.66,1.66,2.15,5.56
22,2022-04-07 12:45:13+00:00,2.18,3.51,4.67,1170,-73,67,28,3.51,611.42,154.96,24.68,3.00,1.32,1.32,2.18,4.67,3.09,4.70,7.37,18512,0.05,960.69,4.70,694.21,193.67,32.49,6.00,3.68,2.53,3.09,7.37
23,2022-04-07 12:47:13+00:00,2.37,2.88,3.37,1172,-72,67,28,2.88,595.84,152.60,17.33,0.96,0.56,0.35,2.37,3.37,2.46,3.93,5.24,18512,0.05,960.70,3.93,635.61,172.54,30.54,3.04,1.85,1.22,2.46,5.24
