,created_at,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10.0_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_CF1_ug/m3,>=0.3um/dl,>=0.5um/dl,>=1.0um/dl,>=2.5um/dl,>=5.0um/dl,>=10.0um/dl,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3,PM1.0_ATM_B_ug/m3,PM2.5_ATM_B_ug/m3,PM10.0_ATM_B_ug/m3,UptimeMinutes_B,ADC,Pressure_hpa,PM2.5_CF1_B_ug/m3,>=0.3_B_um/dl,>=0.5_B_um/dl,>=1.0_B_um/dl,>=2.5_B_um/dl,>=5.0_B_um/dl,>=10.0_B_um/dl,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3
0,2022-04-07 12:01:33+00:00,2.02,3.53,3.95,1126,-69,68,27,3.53,563.64,154.80,26.80,2.68,0.34,0.34,2.02,3.95,1.58,2.88,4.96,18512,0.03,959.31,2.88,523.47,136.70,22.46,6.00,3.09,1.23,1.58,4.96
1,2022-04-07 12:03:33+00:00,1.88,3.45,5.07,1128,-63,68,27,3.45,525.36,146.29,30.29,3.93,2.24,1.34,1.88,5.07,1.94,3.48,4.41,18512,0.03,959.43,3.48,531.56,144.37,32.33,3.15,0.93,0.93,1.94,4.41
2,2022-04-07 12:05:33+00:00,2.86,4.56,5.25,1130,-64,68,27,4.56,819.26,225.75,33.47,2.81,0.70,0.70,2.86,5.25,3.43,6.38,8.09,18512,0.03,959.42,6.38,897.10,245.79,39.31,8.76,2.07,2.07,3.43,8.09
3,2022-04-07 12:07:33+00:00,1.83,3.09,3.78,1132,-62,68,27,3.09,509.33,142.00,23.00,3.19,0.85,0.85,1.83,3.78,1.78,3.81,5.57,18512,0.03,959.45,3.81,544.14,146.07,28.31,5.90,2.41,2.00,1.78,5.57
4,2022-04-07 12:09:33+00:00,1.47,3.33,5.61,1134,-61,68,27,3.33,472.74,128.74,27.46,7.54,2.67,2.46,1.47,5.61,1.25,2.72,2.89,18512,0.03,959.50,2.72,443.16,120.49,22.56,1.79,0.35,0.35,1.25,2.89
5,2022-04-07 12:11:33+00:00,1.09,2.37,3.02,1136,-67,68,27,2.37,352.16,100.19,17.82,2.88,0.81,0.81,1.09,3.02,1.59,2.54,4.33,18512,0.03,959.46,2.54,442.11,122.78,21.41,3.00,2.15,1.78,1.59,4.33
6,2022-04-07 12:13:33+00:00,0.79,1.91,4.86,1138,-62,68,27,1.91,361.34,98.09,22.16,6.45,3.97,3.52,0.79,4.86,1.43,2.41,3.91,18680,0.03,959.54,2.41,447.96,114.00,21.32,3.21,1.82,1.79,1.43,3.91
7,2022-04-07 12:15:33+00:00,0.55,2.09,2.62,1140,-66,68,27,2.09,373.09,105.87,22.36,4.07,0.62,0.62,0.55,2.62,1.31,2.55,4.31,18512,0.03,959.59,2.55,481.34,121.66,22.86,4.07,2.07,1.45,1.31,4.31
8,2022-04-07 12:17:33+00:00,0.91,2.16,3.86,1142,-66,68,27,2.16,380.57,106.43,24.68,4.43,1.93,1.93,0.91,3.86,1.16,2.74,3.97,18512,0.03,959.60,2.74,479.90,128.41,24.07,4.07,1.31,0.62,1.16,3.97
9,2022-04-07 12:19:33+00:00,1.37,2.75,4.58,1144,-64,68,27,2.75,419.74,121.75,27.86,3.96,2.21,2.21,1.37,4.58,1.00,2.50,3.70,18512,0.03,959.71,2.50,390.00,101.71,23.71,4.57,1.71,0.54,1.00,3.70
10,2022-04-07 12:21:33+00:00,0.93,2.00,3.00,1146,-62,68,27,2.00,348.95,96.68,18.74,2.53,1.23,1.23,0.93,3.00,1.16,2.27,2.68,18512,0.03,959.73,2.27,385.50,96.36,16.11,3.32,0.54,0.36,1.16,2.68
11,2022-04-07 12:23:33+00:00,0.56,1.78,2.24,1148,-60,68,27,1.78,363.27,101.38,16.25,2.25,0.36,0.36,0.56,2.24,0.98,1.96,2.61,18680,0.03,959.80,1.96,425.16,111.89,18.91,2.60,0.70,0.49,0.98,2.61
12,2022-04-07 12:25:34+00:00,1.18,3.02,5.34,1150,-66,68,27,3.02,447.27,124.71,30.86,7.82,2.89,1.32,1.18,5.34,0.84,2.84,3.98,18680,0.03,959.91,2.84,498.62,136.00,26.31,5.76,1.52,1.17,0.84,3.98
13,2022-04-07 12:27:33+00:00,1.38,2.97,3.66,1152,-66,68,27,2.97,438.93,123.81,25.62,2.97,0.83,0.83,1.38,3.66,1.25,2.91,3.66,18512,0.03,959.97,2.91,449.36,130.11,24.00,3.82,1.14,0.57,1.25,3.66
14,2022-04-07 12:29:33+00:00,0.74,2.07,3.05,1154,-60,68,27,2.07,334.91,92.76,23.31,3.97,0.79,0.79,0.74,3.05,1.07,2.23,2.71,18512,0.03,960.04,2.23,396.32,102.96,21.93,2.54,0.96,0.00,1.07,2.71
15,2022-04-07 12:31:33+00:00,0.94,2.09,2.72,1156,-68,68,27,2.09,361.89,103.39,23.56,1.63,0.37,0.37,0.94,2.72,1.22,1.90,2.78,18512,0.03,960.08,1.90,383.80,103.73,17.83,1.25,1.25,0.81,1.22,2.78
16,2022-04-07 16:52:58+00:00,1.46,2.24,3.56,20,-66,77,15,2.24,421.42,117.25,20.34,2.64,1.32,0.92,1.46,3.56,1.57,2.88,3.12,17336,0.03,962.20,2.88,545.38,137.62,22.59,1.90,0.14,0.14,1.57,3.12
17,2022-04-07 16:54:59+00:00,1.82,3.57,6.25,22,-67,77,15,3.57,558.21,152.36,30.18,4.96,3.39,3.39,1.82,6.25,1.88,3.40,5.33,18576,0.03,962.14,3.40,591.26,161.30,31.79,4.32,2.74,2.35,1.88,5.33
18,2022-04-07 16:56:59+00:00,2.53,3.72,4.91,24,-65,77,15,3.72,598.84,169.77,23.79,3.75,0.70,0.70,2.53,4.91,2.38,4.02,4.25,18744,0.03,962.23,4.02,642.22,172.62,28.69,3.02,0.36,0.36,2.38,4.25
19,2022-04-07 16:58:59+00:00,2.10,3.62,3.64,26,-68,77,15,3.62,574.86,161.43,21.86,2.72,0.00,0.00,2.10,3.64,2.38,3.45,4.29,18512,0.03,962.15,3.45,636.32,172.61,24.46,2.71,1.00,0.46,2.38,4.29
20,2022-04-07 17:00:59+00:00,2.00,3.27,5.05,28,-65,77,16,3.27,529.47,145.65,26.64,4.07,2.11,1.75,2.00,5.05,2.21,3.76,5.28,18512,0.03,962.18,3.76,550.45,152.10,27.86,4.59,1.79,1.34,2.21,5.28
21,2022-04-07 17:02:58+00:00,2.30,4.14,5.05,30,-67,77,16,4.14,569.46,159.70,25.54,5.86,0.96,0.96,2.30,5.05,1.36,2.41,2.84,18512,0.03,962.13,2.41,477.41,131.17,21.97,1.21,0.72,0.31,1.36,2.84
22,2022-04-07 17:04:58+00:00,1.95,3.39,3.88,32,-67,76,16,3.39,566.89,150.16,23.51,2.84,0.39,0.39,1.95,3.88,2.32,3.80,3.88,18512,0.03,961.96,3.80,583.39,162.21,25.79,1.79,0.07,0.07,2.32,3.88
23,2022-04-07 17:06:58+00:00,2.72,4.21,4.91,34,-64,77,15,4.21,629.22,176.29,30.67,1.79,0.93,0.93,2.72,4.91,2.65,4.31,5.93,18512,0.03,961.91,4.31,681.82,194.25,31.27,4.11,2.07,1.20,2.65,5.93
24,2022-04-07 17:08:59+00:00,2.80,4.60,5.78,36,-67,77,15,4.60,683.24,186.36,31.71,5.38,1.31,1.31,2.80,5.78,2.79,4.53,5.79,18512,0.03,961.95,4.53,669.00,184.41,31.24,5.72,1.34,0.83,2.79,5.79
25,2022-04-07 17:10:58+00:00,1.91,3.36,4.67,38,-67,77,15,3.36,583.31,156.84,29.51,4.04,1.85,1.42,1.91,4.67,2.78,4.83,6.36,18512,0.03,961.92,4.83,670.34,186.86,35.59,4.48,1.97,1.62,2.78,6.36
26,2022-04-07 17:12:58+00:00,2.38,3.66,5.10,40,-65,76,15,3.66,597.10,167.55,28.64,3.24,2.00,1.21,2.38,5.10,2.89,4.54,6.18,18680,0.03,961.94,4.54,637.61,182.46,35.00,4.50,2.32,1.25,2.89,6.18
27,2022-04-07 17:14:59+00:00,2.22,3.91,5.24,42,-68,75,15,3.91,579.16,164.86,28.88,4.90,1.79,1.34,2.22,5.24,2.31,3.80,3.84,18512,0.03,961.97,3.80,601.42,163.67,24.22,2.62,0.07,0.07,2.31,3.84
