created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2022-03-12 21:48:58 UTC,219,10.13,13.20,14.25,19,-59,70,26,13.20
2022-03-12 21:51:01 UTC,220,9.68,13.59,13.98,21,-55,71,25,13.59
2022-03-12 21:52:58 UTC,221,8.47,11.86,13.93,23,-58,71,25,11.86
2022-03-12 21:54:58 UTC,222,9.07,11.63,12.98,25,-59,71,24,11.63
2022-03-12 21:56:58 UTC,223,9.05,11.22,12.37,27,-56,72,25,11.22
2022-03-12 21:58:58 UTC,224,8.47,10.64,11.07,29,-58,72,25,10.64
2022-03-12 22:00:58 UTC,225,7.61,10.80,11.91,31,-59,72,24,10.80
2022-03-12 22:02:58 UTC,226,7.59,9.95,11.33,33,-59,72,24,9.95
2022-03-12 22:04:59 UTC,227,7.83,10.68,11.56,35,-57,72,24,10.68
2022-03-12 22:06:58 UTC,228,7.51,10.44,11.26,37,-59,72,24,10.44
2022-03-12 22:08:58 UTC,229,8.38,10.64,11.75,39,-55,73,23,10.64
2022-03-12 22:10:58 UTC,230,6.98,9.40,9.88,41,-56,73,23,9.40
2022-03-12 22:12:58 UTC,231,6.78,9.88,10.46,43,-58,73,23,9.88
2022-03-12 22:14:58 UTC,232,7.60,10.31,11.74,45,-59,73,23,10.31
2022-03-12 22:16:58 UTC,233,7.21,10.20,11.62,47,-58,73,22,10.20
2022-03-12 22:18:58 UTC,234,6.20,8.54,9.93,49,-56,73,22,8.54
2022-03-12 22:20:58 UTC,235,7.02,10.25,11.32,51,-55,73,22,10.25
2022-03-12 22:22:59 UTC,236,6.29,9.15,9.69,53,-55,73,22,9.15
2022-03-12 22:24:59 UTC,237,6.58,8.74,10.28,55,-58,73,22,8.74
2022-03-12 22:26:58 UTC,238,6.75,9.00,9.61,57,-57,73,22,9.00
2022-03-12 22:28:58 UTC,239,6.34,9.02,9.46,59,-58,73,22,9.02
2022-03-12 22:30:58 UTC,240,6.41,7.95,9.20,61,-57,73,22,7.95
2022-03-12 22:32:58 UTC,241,6.17,8.12,8.66,63,-56,73,22,8.12
2022-03-12 22:34:58 UTC,242,6.00,8.72,9.42,65,-59,74,22,8.72
2022-03-12 22:36:58 UTC,243,6.18,8.56,9.30,67,-60,74,21,8.56
2022-03-12 22:38:58 UTC,244,6.03,8.75,9.08,69,-59,74,21,8.75
2022-03-12 22:40:58 UTC,245,6.33,8.62,9.48,71,-59,74,21,8.62
2022-03-12 22:42:58 UTC,246,5.93,8.59,9.66,73,-59,74,21,8.59
2022-03-12 22:44:58 UTC,247,5.64,7.80,8.95,75,-56,74,21,7.80
2022-03-12 22:46:58 UTC,248,5.59,7.88,8.72,77,-59,74,21,7.88
2022-03-12 22:48:59 UTC,249,5.20,7.92,8.53,79,-59,74,21,7.92
2022-03-12 22:50:59 UTC,250,4.91,6.84,7.35,81,-53,74,21,6.84
2022-03-12 22:52:59 UTC,251,5.39,7.71,8.19,83,-56,74,21,7.71
2022-03-12 22:54:59 UTC,252,5.89,9.21,9.96,85,-58,74,21,9.21
2022-03-12 22:56:59 UTC,253,5.04,6.77,7.54,87,-59,74,21,6.77
2022-03-12 22:58:59 UTC,254,5.92,7.88,8.71,89,-58,74,21,7.88
2022-03-12 23:00:59 UTC,255,5.29,7.42,8.46,91,-55,74,21,7.42
2022-03-12 23:02:59 UTC,256,5.31,7.19,7.90,93,-53,74,21,7.19
2022-03-12 23:04:59 UTC,257,5.45,7.58,8.22,95,-57,74,21,7.58
2022-03-12 23:06:59 UTC,258,5.00,7.59,8.62,97,-55,74,21,7.59
2022-03-12 23:08:59 UTC,259,5.17,7.58,9.47,99,-56,74,21,7.58
2022-03-12 23:10:59 UTC,260,5.05,6.97,8.52,101,-57,74,21,6.97
2022-03-12 23:12:59 UTC,261,5.41,7.52,7.81,103,-54,74,21,7.52
2022-03-12 23:14:59 UTC,262,5.25,7.44,8.56,105,-55,74,20,7.44
2022-03-12 23:16:59 UTC,263,5.21,8.10,9.12,107,-55,74,20,8.10
